train_id,station
1534,Brussel-Congres
1533,Oostkamp
1535,Sint-Truiden
1534,Brussel-Centraal
1509,Bokrijk
1534,Brussel-Kapellekerk
1510,Vertrijk
1534,Brussel-Zuid
1533,Brugge
1512,Blankenberge
1535,Landen
1510,Tienen
1533,Brugge-Sint-Pieters
1534,Anderlecht
1535,Neerwinden
1535,Ezemaal
1510,Ezemaal
1510,Neerwinden
1512,Brugge-Sint-Pieters
1511,Anderlecht
1510,Landen
1535,Tienen
1536,Genk
1512,Brugge
1535,Vertrijk
1511,Brussel-Zuid
1511,Brussel-Kapellekerk
1512,Oostkamp
1536,Bokrijk
1510,Sint-Truiden
1511,Brussel-Centraal
1512,Beernem
1512,Maria-Aalter
1536,Kiewit
1511,Brussel-Congres
1535,Leuven
1534,Gent-Sint-Pieters
1511,Brussel-Noord
1510,Alken
1535,Herent
1512,Aalter
1535,Veltem
1512,Bellem
1534,Drongen
1511,Schaarbeek
1535,Erps-Kwerps
1535,Kortenberg
1536,Hasselt
1534,Landegem
1512,Hansbeke
1511,Haren-Zuid
1511,Diegem
1535,Nossegem
1535,Zaventem
1534,Hansbeke
1511,Zaventem
1511,Nossegem
1535,Diegem
1512,Landegem
1534,Bellem
1512,Drongen
1535,Haren-Zuid
1511,Kortenberg
1510,Hasselt
1511,Erps-Kwerps
1511,Veltem
1534,Aalter
1535,Schaarbeek
1536,Alken
1511,Herent
1534,Maria-Aalter
1535,Brussel-Noord
1534,Beernem
1512,Gent-Sint-Pieters
1510,Kiewit
1511,Leuven
1535,Brussel-Congres
1536,Sint-Truiden
1534,Oostkamp
1535,Brussel-Centraal
1510,Bokrijk
1535,Brussel-Kapellekerk
1511,Vertrijk
1535,Brussel-Zuid
1534,Brugge
1513,Blankenberge
1536,Landen
1511,Tienen
1535,Anderlecht
1534,Brugge-Sint-Pieters
1536,Neerwinden
1536,Ezemaal
1511,Ezemaal
1511,Neerwinden
1513,Brugge-Sint-Pieters
1512,Anderlecht
1536,Tienen
1511,Landen
1537,Genk
1513,Brugge
1536,Vertrijk
1512,Brussel-Zuid
1537,Bokrijk
1513,Oostkamp
1512,Brussel-Kapellekerk
1511,Sint-Truiden
1513,Beernem
1512,Brussel-Centraal
1512,Brussel-Congres
1513,Maria-Aalter
1537,Kiewit
1536,Leuven
1512,Brussel-Noord
1535,Gent-Sint-Pieters
1513,Aalter
1536,Herent
1511,Alken
1536,Veltem
1512,Schaarbeek
1535,Drongen
1513,Bellem
1536,Erps-Kwerps
1513,Hansbeke
1536,Kortenberg
1535,Landegem
1537,Hasselt
1512,Haren-Zuid
1512,Diegem
1536,Nossegem
1512,Zaventem
1535,Hansbeke
1536,Zaventem
1536,Diegem
1535,Bellem
1512,Nossegem
1513,Landegem
1536,Haren-Zuid
1512,Kortenberg
1513,Drongen
1511,Hasselt
1512,Erps-Kwerps
1536,Schaarbeek
1512,Veltem
1537,Alken
1535,Aalter
1512,Herent
1535,Maria-Aalter
1536,Brussel-Noord
1535,Beernem
1513,Gent-Sint-Pieters
1511,Kiewit
1512,Leuven
1536,Brussel-Congres
1537,Sint-Truiden
1536,Brussel-Centraal
1535,Oostkamp
1511,Bokrijk
1536,Brussel-Kapellekerk
1512,Vertrijk
1536,Brussel-Zuid
1535,Brugge
1514,Blankenberge
1537,Landen
1535,Brugge-Sint-Pieters
1512,Tienen
1536,Anderlecht
1537,Neerwinden
1537,Ezemaal
1512,Ezemaal
1512,Neerwinden
1514,Brugge-Sint-Pieters
1513,Anderlecht
1512,Landen
1537,Tienen
1538,Genk
1514,Brugge
1537,Vertrijk
1513,Brussel-Zuid
1513,Brussel-Kapellekerk
1514,Oostkamp
1538,Bokrijk
1512,Sint-Truiden
1514,Beernem
1513,Brussel-Centraal
1513,Brussel-Congres
1538,Kiewit
1514,Maria-Aalter
1537,Leuven
1513,Brussel-Noord
1536,Gent-Sint-Pieters
1512,Alken
1537,Herent
1514,Aalter
1536,Drongen
1514,Bellem
1537,Veltem
1513,Schaarbeek
1537,Erps-Kwerps
1513,Haren-Zuid
1538,Hasselt
1536,Landegem
1537,Kortenberg
1514,Hansbeke
1513,Diegem
1537,Nossegem
1537,Zaventem
1536,Hansbeke
1513,Zaventem
1513,Nossegem
1514,Landegem
1537,Diegem
1536,Bellem
1512,Hasselt
1537,Haren-Zuid
1514,Drongen
1513,Kortenberg
1513,Erps-Kwerps
1536,Aalter
1513,Veltem
1537,Schaarbeek
1538,Alken
1513,Herent
1536,Maria-Aalter
1514,Gent-Sint-Pieters
1536,Beernem
1512,Kiewit
1537,Brussel-Noord
1513,Leuven
1537,Brussel-Congres
1538,Sint-Truiden
1536,Oostkamp
1537,Brussel-Centraal
1512,Bokrijk
1537,Brussel-Kapellekerk
1513,Vertrijk
1537,Brussel-Zuid
1536,Brugge
1538,Landen
1515,Blankenberge
1536,Brugge-Sint-Pieters
1513,Tienen
1538,Neerwinden
1537,Anderlecht
1538,Ezemaal
1513,Ezemaal
1515,Brugge-Sint-Pieters
1513,Neerwinden
1514,Anderlecht
1538,Tienen
1513,Landen
1539,Genk
1515,Brugge
1538,Vertrijk
1514,Brussel-Zuid
1514,Brussel-Kapellekerk
1515,Oostkamp
1539,Bokrijk
1513,Sint-Truiden
1515,Beernem
1514,Brussel-Centraal
1515,Maria-Aalter
1539,Kiewit
1514,Brussel-Congres
1538,Leuven
1514,Brussel-Noord
1537,Gent-Sint-Pieters
1513,Alken
1515,Aalter
1538,Herent
1538,Veltem
1514,Schaarbeek
1515,Bellem
1537,Drongen
1538,Erps-Kwerps
1538,Kortenberg
1539,Hasselt
1515,Hansbeke
1514,Haren-Zuid
1538,Nossegem
1514,Diegem
1537,Landegem
1514,Zaventem
1537,Hansbeke
1538,Zaventem
1515,Landegem
1538,Diegem
1537,Bellem
1514,Nossegem
1515,Drongen
1538,Haren-Zuid
1514,Kortenberg
1513,Hasselt
