station,latitude,longitude
Londerzeel,51.00941362761383,4.296896133799565
Machelen,50.90596642069302,4.421043048845224
Malderen,51.01428356975301,4.231399792037534
Maria-Aalter,51.10757473497731,3.386700586663826
Mechelen,51.01761866620954,4.483579828080118
Mechelen-Nekkerspoel,51.030011706650285,4.490206757525486
Melkouwen,51.095163902445975,4.67120807182244
Melle,51.002749921068165,3.796939037051605
Merelbeke,51.020057593681734,3.764835020911601
Mortsel,51.18289070974223,4.448811507867791
Mortsel-Liersesteenweg,51.169548577434576,4.469151255029592
Muizen,51.00823700109542,4.514109018598967
Neerwinden,50.76376087904074,5.036335028170957
Nossegem,50.88344233385105,4.506060556822931
Oostkamp,51.15421490987769,3.257626153621203
Oudegem,51.014737627992446,4.062437122289404
Roeselare,50.94934123119796,3.13023603832593
Schaarbeek,50.87869266989909,4.378431524039678
Schaarbeek-Perron P.C.I.,50.90161855777666,4.414710414550336
Schellebelle,51.00312616442199,3.92143307788236
Schoonaarde,51.003138571181125,4.011262908092702
Schulen,50.96418013482577,5.18542062549714
Schulen-Sas,50.963577095654976,5.188162889720117
Serskamp,50.98453800875389,3.959538984169734
Simonis,50.86599657853117,4.334138582968338
Sint-Agatha-Berchem,50.873033681208796,4.290747342200437
Sint-Katelijne-Waver,51.07092770112268,4.495807348133646
Sint-Martens-Bodegem,50.8671660562188,4.2049393203133
Sint-Truiden,50.81768876585601,5.176520546000151
Ternat,50.874645887542954,4.165480312447825
Testelt,51.009863921942355,4.945833786595188
Thurn en Taxis,50.87155655999172,4.340863745355737
Tielt,50.99003689048316,3.328627110235745
Tienen,50.8079314339937,4.925636678946889
Torhout,51.064712250785384,3.105750907108637
Veltem,50.90055001720875,4.633517445095211
Vertrijk,50.83594652922674,4.836594370794067
Vilvoorde,50.92414359820823,4.432813750239998
Waregem,50.89242835003542,3.42559831780833
Weerde,50.977243209834526,4.471087335301695
Wespelaar-Tildonk,50.958554857806234,4.637792321159048
Wetteren,51.00149929084834,3.881915592818523
Wezemaal,50.95636089869388,4.748012297469645
Wichelen,51.001758503990175,3.974883903141969
Wijgmaal,50.9233034469938,4.700698413816125
Zaventem,50.885632548337114,4.469909600155111
Zedelgem,51.126381461398005,3.163480495051282
Zichem,51.006658165424646,4.987321399197209
