station,latitude,longitude
Heizijde,50.98889804389831,4.157254201988882
Hemiksem,51.13637533241372,4.338483199630347
Hennuyères,50.65091444999998,4.176132141679284
Hennuyères-Garage,50.6479509231809,4.173327027471045
Herent,50.90358929255643,4.672141055672479
Herentals,51.18107296652878,4.828554945607912
Hermalle-sous-Huy,50.57190883954576,5.379497993919575
Herne,50.72369800894415,4.014372844199131
Herseaux,50.71428726455946,3.24481180953509
Herstal,50.66038889612703,5.622362799581048
Herzele,50.89692470109805,3.879519908406242
Heusden,51.03831376551328,5.280683551561018
Hever,50.99640059409282,4.540771399949431
Heverlee,50.86227660767446,4.69446096328772
Hillegem,50.89129484430886,3.857476893082532
Hoboken-Polder,51.183114878956644,4.34866759837548
Hoei,50.527376421412576,5.234037173214917
Hoeilaart,50.76018324853293,4.467428762947364
Hofstade,50.988539649222346,4.498451705048018
Holleken,50.767015163038835,4.354770803816823
Hony,50.54017176737816,5.573926108998182
Houraing,50.702881501429985,3.835231437708677
Hourpes,50.36371477510706,4.30877079907457
Houyet,50.19034554043201,5.005903558228376
Hove,51.15406191789155,4.465214254147384
Huizingen,50.75164132555423,4.265609116647624
Iddergem,50.876839948861615,4.068558143547746
Idegem,50.801685791171266,3.921425440783262
Ieper,50.847477690810365,2.876886293135154
Ingelmunster,50.91484341700642,3.254708319352296
Izegem,50.92110934791895,3.21346951707641
Izegem-Sas,50.92120714692377,3.219680037338991
Jambes,50.45397911996434,4.875468217584368
Jambes-Oost,50.45480124064923,4.880327093433281
Jamioulx,50.35310475459701,4.411235098608796
Java,50.51387710977643,5.160698724076279
Jemappes,50.45256323711496,3.885169785310784
Jemeppe-Froidmont,50.45963902860139,4.669325838328373
Jemeppe-sur-Meuse,50.61841627390551,5.497799707765852
Jemeppe-sur-Sambre,50.45094942294263,4.662626762258042
Jemeppe-sur-Sambre-Marchandise,50.44797745287747,4.657785895311827
Jette,50.88120457651592,4.332923410788644
Jurbeke,50.530554529567226,3.91061322221787
Juslenville,50.544523352435114,5.810241413122571
Kalmthout,51.389739416824185,4.466700911173807
Kapellen,51.31359271091834,4.432805301554844
Kapellen-Wijkspoor,51.317231535723785,4.434792500728763
Kapelle-op-den-Bos,51.010827123385425,4.358811372849264
Kessel,51.151056001612034,4.618457995215415
Kiewit,50.95466485008808,5.350407516097127
Kijkuit,51.37923641584364,4.467294323328127
Kinkempois-Formation,50.608800001919754,5.579665994827687
Kinkempois-Réception,50.604783647159316,5.561372780863632
Kinkempois-Relais,50.60647571597552,5.572330520059823
Knokke,51.339924821451284,3.285227675190857
Koksijde,51.078708344787216,2.654140285486822
Komen,50.771963555146186,2.999344828949002
Kontich-Lint,51.13368368793974,4.47689680687504
Kortemark,51.02513426910576,3.043944762312061
Kortenberg,50.89300415046401,4.543312926825426
Kortenberg-Goederen,50.893766016593474,4.552069735832903
Kortrijk,50.82441338246862,3.267774528680328
Kortrijk-Goederen,50.817224001585565,3.246422995651524
Kwatrecht,50.99155010054474,3.833335262496046
Labuissière,50.316274429666755,4.186533133296718
La Louvière-Centrum,50.477715304331944,4.180068630195054
La Louvière-Industriestation,50.48597883133482,4.193672918052559
La Louvière-Zuid,50.464993656778184,4.19010515835262
Landegem,51.06421597718289,3.57704576219589
Landelies,50.37744147997038,4.35082634155706
Landen,50.7478945465236,5.079627434738533
Landskouter,50.970632711493394,3.791317792734344
Langdorp,51.00246923181287,4.863538493784459
La Roche(Brabant),50.61023315895161,4.539569635859897
Lauwe,50.7877911292868,3.202325904952008
Lebbeke,51.00475356147399,4.134881157174673
Le Campinaire,50.423793968306505,4.542815083314184
Lede,50.970970941375874,3.985076835022102
Leignon,50.267702734121116,5.107729107898765
Leman,50.59896972583936,5.465658900379582
Lembeek,50.71511214097718,4.221567770089727
Lens,50.55912879254978,3.903285755628561
Leopoldsburg,51.117330660425495,5.257878772958566
Lessen,50.71290774870706,3.836861179155217
Leuven,50.88136571115078,4.716208512981546
Leuven-Bundel M,50.89048741099339,4.715212056034138
Leuven-Bundel P,50.877000001722195,4.718680995154479
Leuven-Bundel Q,50.87644508728029,4.718516879605718
Leuze,50.60055276661659,3.616784177194411
Leval,50.43066476604268,4.211414215952779
Libramont,49.920246581133696,5.378998507038368
Lichtervelde,51.025212177341054,3.126819220887453
Liedekerke,50.882547620740944,4.095286581223728
Liège-Guillemins-Faisceau,50.61896360708386,5.574667117783871
Lier,51.13604368651541,4.561775772658214
Lierde,50.81658982280488,3.825714387767464
Liers,50.69817964040005,5.566911104405785
Liers-Faisceau,50.69978530450907,5.558491077982493
Ligny,50.51135366053688,4.566056594307918
Lillois,50.64367353246769,4.363394702678375
Limal,50.69197975199437,4.575848696098152
Linkebeek,50.77339212483393,4.339918296891916
Lissewege,51.29470102888716,3.194426918229498
Lobbes,50.34631966923858,4.260948846223764
Lobbes-Garage,50.3468040847804,4.257260015531566
Lodelinsart,50.43241893769997,4.463036457517552
Lokeren,51.1070280724398,3.985383235145282
Lokeren-Oost,51.10977280180321,3.991494840923161
Lommel,51.211527124043826,5.310537299130095
Londerzeel,51.00941362761383,4.296896133799565
Lonzée,50.55197706629923,4.720151428541858
Lot,50.765128381018265,4.272571084560079
Louvain-la-Neuve,50.669942365664625,4.616284940483432
Luchtbal-Wijkbundel,51.27099800154873,4.431169995291412
Luik-Carré,50.64016117047732,5.561580820714428
Luik-Guillemins,50.62555824033023,5.565379651677738
Luik-Sint-Lambertus,50.64694935205776,5.57261263700804
Lustin,50.36974157323638,4.87748847850772
Luttre,50.50601206060288,4.384250449864734
Machelen,50.90596642069302,4.421043048845224
Maffle,50.61404860437613,3.800494581194257
Malderen,51.01428356975301,4.231399792037534
Manage,50.50617164755824,4.23475247690034
Marbehan,49.72742014932923,5.53975533337961
Marche-en-Famenne,50.222535392854475,5.34617844744314
Marche-les-Dames,50.480718861804796,4.964576135362847
Marche-les-Dames-Marchandises,50.48053191922914,4.967202412995651
Marche-lez-Ecaussinnes,50.54620487800974,4.177102420598815
Marchienne-au-Pont,50.41221701003429,4.394312434115766
Marchienne-Zone,50.397619848761245,4.389973803252673
Marcinelle,50.40681073227917,4.425009231843675
Maria-Aalter,51.10757473497731,3.386700586663826
Mariembourg,50.09533742372334,4.525417233992525
Marloie,50.20321569506066,5.314305549244098
Masnuy-Saint-Pierre,50.536335796446835,3.962143546959787
Maubray,50.5473596412106,3.496016879443089
Mazy,50.51340076467429,4.675936277319987
