station,min_delay
Sleidinge,0
Solre-sur-Sambre,0
Spa,0
Spa-Géronstère,0
Chapois,0
Lissewege,0
Lobbes,0
Lokeren,0
Chapelle-Dieu,0
Wondelgem,0
Juslenville,0
Louvain-la-Neuve,0
Luik-Guillemins,0
Appelterre,0
Theux,0
Marbehan,0
Labuissière,0
Jambes-Oost,0
Ham-sur-Heure,0
Natoye,0
Oostende-T.W.,1
Oostende-Zeehaven,1
Merelbeke-Sas T.W.,1
Kortrijk-Goederen,3
Aalst-Oost,13
Charleroi-A.T.,
