station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Diest,2.349553488969732,2.8626952086254412,-29,-29,127,127
Diksmuide,2.1060537586767095,2.3842216544797815,-2,0,225,75
Dilbeek,2.8934023394765632,2.8331305159538357,-8,-8,82,81
Dinant,1.6069619811649808,1.9125555858063345,-3,0,89,90
Dolhain-Gileppe,3.1672519338861372,3.2065915414579855,-2,-2,119,119
Doornik,2.6144330085708007,2.2443910664677124,-6,-1,229,70
Drongen,2.0838842457285774,2.3071720914876419,-33,-33,262,262
Duffel,2.6375451399337948,2.7534293217763081,-10,-10,139,139
Duinbergen,0.860079455952257035,2.1696277846962778,-1,0,71,73
Ecaussinnes,1.9237905915394067,2.1655685880840422,-8,-3,100,101
Ede,1.9460838980488412,2.7611532490574407,-3,-3,135,135
Edingen,2.8744845449096669,2.8394480546953005,-2,-3,254,169
Eeklo,2.1539517552461267,0.79403244837758112167,-1,0,120,44
Eerken,0.93396376297197714833,1.6696286405320971,-16,-16,77,86
Eichem,2.4026143216815973,3.2054922748912059,-2,0,72,75
Eigenbrakel,2.9671156609195402,3.3140195310840419,-5,-5,89,102
Eine,1.1655325842696629,1.7775678901820352,-1,-1,118,118
Eke-Nazareth,1.3920903198953502,2.2720701910262106,-1,0,118,118
Ekeren,2.2021554757882883,2.9868284686971235,-7,-7,93,93
Engis,2.4380698308783415,2.8089168084456659,-3,-2,149,149
Eppegem,1.8563206214689266,2.2458685172965295,-6,-8,171,171
Erbisoeul,2.7476253779585028,3.0159290744676418,-2,-2,135,135
Erembodegem,2.6751054646143823,2.7975898602853018,-4,-4,114,114
Ernage,2.735117864402592,2.6056917018284107,-1,-1,143,143
Erps-Kwerps,2.2755243924089102,2.4109881466910891,-9,-9,164,164
Erquelinnes,1.7519439328831594,1.5462923540890545,-1,0,65,37
Erquelinnes-Dorp,1.4963181078234224,3.5360109754943703,-1,0,66,66
Esneux,3.0501138113409654,3.7518010348856618,-7,0,69,70
Essen,3.5193750452603375,1.4217444540478248,-2,0,95,54
Essene-Lombeek,1.760674704006055,2.1878935235213601,-2,-1,77,77
Etterbeek,2.1960184501531855,2.4173779283812533,-9,-10,120,119
Eupen,4.3584366391184573,0.81169989820968804333,0,0,59,48
Evere,1.7102786051689382,2.4220556185947659,-4,-4,88,89
Evergem,1.238953488372093,2.9531431933605847,-1,0,119,119
Ezemaal,2.5369052934464454,3.7531292803274089,-7,-7,159,159
Familleureux,1.5494068271825605,1.8705510364733666,-4,-4,99,99
Farciennes,1.8854322487736826,2.2097048573686858,-3,-3,94,94
Faux,1.3783381043256997,2.596640040573095,-2,-2,53,53
