station,min_delay
Ciney,-2
Sclaigneaux,-2
Château-de-Seilles,-2
Seraing,-2
Chastre,-2
Charleroi-West,-2
Chapois,-2
Antwerpen-W.H.-B.Kallo,-2
Sint-Denijs-Boekel,-2
Burst,-2
Brugge-Sint-Pieters,-2
Sint-Martens-Bodegem,-2
Sint-Niklaas-Oost,-2
Statte,-2
Stockem,-2
Bracquegnies,-2
Ternat,-2
Bomal,-2
Boechout,-2
Binche,-2
Andenne,-2
Ampsin,-2
Turnhout,-2
Verviers-Centraal,-2
Viane-Moerbeke,-2
Vichte,-2
Berzée,-2
Bertrix,-2
Viville,-2
Amay,-2
Acren,-2
Bas-Oha,-2
Balen-Werkplaatsen,-2
Kinkempois-Relais,-2
Landelies,-2
Jurbeke,-2
Jemeppe-sur-Sambre,-2
La Roche(Brabant),-2
Lauwe,-2
Le Campinaire,-2
Jemappes,-2
Aye,-2
Java,-2
Leval,-2
Ingelmunster,-2
Céroux-Mousty,-1
Beignée,-1
Mazy,-1
Jamioulx,-1
Beauraing,-1
Bressoux,-1
Lissewege,-1
Zeebrugge-Strand,-1
Lierde,-1
Barvaux,-1
Sy,-1
Zeebrugge-Vorming,-1
Houraing,-1
Flémalle-Annexe,-1
Noorderkempen,-1
Marchienne-Zone,-1
Boussu,-1
Ninove,-1
Lessen,-1
Wondelgem,-1
Hourpes,-1
Theux,-1
Evergem,-1
Marche-en-Famenne,-1
Thuin,-1
Bois d'Ausse,-1
Erquelinnes-Dorp,-1
Wervik,-1
Overpelt,-1
Tielen,-1
Erquelinnes,-1
Marbehan,-1
Ernage,-1
Blanmont,-1
Blankenberge,-1
Bissegem,-1
Florenville,-1
Eke-Nazareth,-1
Poperinge,-1
Eine,-1
Balegem-Dorp,-1
Tilly-Garage,-1
Eeklo,-1
Tollembeek,-1
Quévy,-1
Rebaix,-1
Forrières,-1
Tongeren,-1
Houyet,-1
Wildert,-1
Frameries,-1
Galmaarden,-1
Komen,-1
Koksijde,-1
Namêche,-1
Herne,-1
Ronse,-1
Gavere-Asper,-1
Duinbergen,-1
Lustin,-1
Geel,-1
Bilzen-Wijkspoor,-1
Sart-Bernard,-1
Bilzen,-1
Genly,-1
Gent-Zeehaven,-1
Jemeppe-Froidmont,-1
Courrière,-1
Luik-Carré,-1
Glaaien,-1
Appelterre,-1
Schendelbeke,-1
Comblain-la-Tour,-1
Iddergem,-1
Habay,-1
Leignon,-1
Kiewit,-1
Villers-la-Ville,-1
Jambes-Oost,-1
Zandbergen,-1
Lommel,-1
Ieper,-1
Lobbes-Garage,-1
Jambes,-1
Hamoir,-1
Ham-sur-Heure,-1
