station,avg_delay
Beervelde,2.2190757758039607
Noorderkempen,2.2211732973701956
Louvain-la-Neuve,2.2234642462727775
Profondsart,2.2248127861130957
Melsele,2.2257599429871447
Sint-Gillis(Dendermonde),2.2273460797295697
Zeebrugge-Dorp,2.2291651927838698
Buda,2.2404586737932871
Veurne,2.2404850746268657
Heide,2.2412370386483939
Tollembeek,2.242990225265456
Buggenhout,2.249033931375815
Vilvoorde,2.2508449099196874
Zedelgem,2.2509082225107837
Hennuyères,2.2527190248246688
Lokeren-Oost,2.252970426102503
Malderen,2.2541309523809524
Wichelen,2.2586010739965414
Rixensart,2.2612776673293572
Masnuy-Saint-Pierre,2.2613551099216678
Lonzée,2.2681847268405837
Herne,2.2743543723202712
Sint-Mariaburg,2.2746863468634686
Erps-Kwerps,2.2755243924089102
Lembeek,2.2792710980835946
Belsele,2.2812722011078819
Trooz,2.2967648870303738
Welle,2.2969657846634368
Gedinne-Marchandises,2.297249621338062
Heusden,2.2987829935198356
Galmaarden,2.2992957746478873
Iddergem,2.30394636352955
Vorst-Oost,2.3045875086496322
Schaarbeek,2.3072275305692894
Okegem,2.3091677655677656
Sint-Niklaas-Oost,2.3124564394328397
Testelt,2.3159213733602745
Cour-sur-Heure,2.3178164415784564
Chaudfontaine,2.3264295902489627
Blanmont,2.3274697184206387
Neufvilles-Garage,2.3278048840138425
Moeskroen,2.3279911719138238
Hennuyères-Garage,2.3302662165838217
Brugge,2.3335996276355304
Tielen,2.3344484406128242
Aarschot,2.3353067103308166
Antwerpen-Berchem,2.3378861106028151
Diest,2.349553488969732
Gentbrugge,2.3508913460830942
Bergen,2.3532311800775224
Tubeke,2.3611081196501847
Kwatrecht,2.3644454595421662
Oudenaarde,2.3658884370821166
Brussel-Schuman,2.3673853345765266
Lot,2.3713117029101153
Vorst-Zuid,2.3741054887992645
Nessonvaux,2.3749538514995548
Marche-les-Dames,2.3785881986402733
Ottignies,2.3802411823553473
Brussel-Luxemburg,2.3806230370936253
Genval,2.3826080025506137
Havinnes,2.3826205040371911
Brussels Airport - Zaventem,2.3854099350118893
Sint-Denijs-Boekel,2.3871510026266897
Sint-Martens-Bodegem,2.390952308703788
Luik-Sint-Lambertus,2.393710906269106
Munkzwalm,2.3940704390942085
Melle,2.3996428448186618
Gedinne,2.4005029847446385
Quévy,2.4014243654014482
Eichem,2.4026143216815973
Hansbeke,2.4069981867323549
Schellebelle,2.4098542458808619
Athus,2.4113655821917808
Villers-la-Ville,2.4149679609186651
Waregem,2.4237134846113719
Zichem,2.4242135638660791
Zolder,2.4287508293052791
Ukkel-Kalevoet,2.434593154983285
Fexhe-le-Haut-Clocher,2.4352051519734595
Tongeren,2.4370044358192404
Olne,2.4380414952988547
Engis,2.4380698308783415
Beuzet,2.4394431885646436
Acren,2.443031951053705
Sinaai,2.4491334983221997
Kontich-Lint,2.4503410053722894
Lebbeke,2.4537004830917874
Marche-en-Famenne,2.4539663951120163
Sclaigneaux,2.4548240926297039
Tienen,2.4631519863969162
Baulers,2.463248709915223
Lichtervelde,2.4662669144835182
Wetteren,2.4666155441950063
Ans,2.467980496644777
Leuze,2.481961741961742
Schendelbeke,2.4821558769918269
Schulen-Sas,2.4824298063121906
Bellem,2.4914471025505296
Heizijde,2.4933038880649945
Maria-Aalter,2.4981899846768176
Liedekerke,2.5041172303519744
Hoei,2.5109213301967021
Barvaux,2.5116436267534052
Simonis,2.512837037037037
Zellik,2.5135835021490509
Boussu,2.5139892029641552
Balegem-Dorp,2.5147753757132524
Marche-les-Dames-Marchandises,2.5157306057976818
Antwerpen-Luchtbal,2.5205334151873263
Bockstael,2.5206011103993167
Glaaien,2.526782618118769
Château-de-Seilles,2.5302201352450341
Saint-Denis-Bovesse,2.5367909321626998
Ezemaal,2.5369052934464454
Hove,2.5402608983134505
Wildert,2.5436335291131898
Zinnik,2.5474292464318769
Couvin,2.5490819209039548
Haute-Flône,2.5501236066900754
Leman,2.5509989699007256
Halle,2.5547695301150146
Bouwel,2.5550487943634852
Balegem-Zuid,2.555144165127299
Binche,2.5589804744641608
Ninove-Wijkspoor,2.5592885144227956
Bressoux,2.5609970674486804
Statte,2.5626112166350095
Mortsel-Oude God,2.5648004017072558
Pepinster,2.5841999724876459
Bas-Oha,2.5866655531429208
Terhulpen,2.5874103575114451
Lauwe,2.5906737716041991
Momalle,2.5946095200860131
Gentbrugge-Perron C.W.,2.5951452468626544
Rhisnes-Sas,2.5988648320980877
Lillois,2.6006349032426937
Ruisbroek,2.6067671677841169
Amay,2.6075104766893662
Nijvel,2.6086977789636242
Doornik,2.6144330085708007
Andenne,2.6158281621850048
Lokeren,2.6162613328348444
Merelbeke,2.6177409864127528
Kessel,2.6243028743028743
Ukkel-Stalle,2.6248295916185589
Pont-de-Seraing,2.6365279472233519
Duffel,2.6375451399337948
Beernem,2.6380739273025417
Gontrode,2.639872311827957
Mollem,2.6399094063222822
Remicourt,2.6454273107670265
Mont-Saint-Guibert,2.6507050292083529
Jemeppe-sur-Meuse,2.6530290672647772
Quaregnon,2.6545754189337417
