station,avg_delay
Schulen-Sas,2.4832740658312771
Veurne,2.4855131738834059
Wespelaar-Tildonk,2.4908873703827591
Chastre,2.5021231993722325
Voroux,2.5022340788383765
Aalter,2.5062759377380587
Kontich-Lint,2.5070154730141879
Aalst,2.5121495181846441
Marche-les-Dames-Marchandises,2.5157484037464682
Willebroek,2.5172452438990222
Heist-op-den-Berg,2.517486051889094
Profondsart,2.5219827776161894
Aarschot,2.5232509160853633
Kortemark,2.5262965571893986
Marchienne-au-Pont,2.5274302304845972
's-Gravenbrakel,2.5331025289002965
Berzée,2.5366776315789474
Brussel-Luxemburg,2.5375249092173705
Carlsbourg,2.541005378720896
Melsele,2.5449758602978942
Ham-sur-Heure,2.5485737916565803
Ninove-Wijkspoor,2.5592885144227956
Houyet,2.5593654519710858
Hennuyères,2.5667210057673546
Rixensart,2.5682258476779749
Leuven,2.5795292210004224
Denderleeuw,2.5857674639331815
Chênée,2.5865390847809178
Masnuy-Saint-Pierre,2.586994981868796
Beveren(Waas),2.5874062978769972
Lauwe,2.5906737716041991
Hansbeke,2.5911340118019328
Chaudfontaine,2.592781608451221
Hourpes,2.5939298945568538
Gentbrugge-Perron C.W.,2.5951646980703061
Faux,2.596640040573095
Blanmont,2.598333501383614
Rhisnes-Sas,2.5988648320980877
Bergen,2.5993052917774535
Zichem,2.6033175639978867
Ernage,2.6056917018284107
Testelt,2.6065805391980131
Kalmthout,2.6152505802146794
Landelies,2.6166286799620133
Liedekerke,2.6168309121286778
Wildert,2.6203164075241927
Kwatrecht,2.6206381670112413
Thuin,2.6235888634630053
Flémalle-Haute,2.6253269222324683
Lonzée,2.6284570272309486
La Roche(Brabant),2.6300129898932294
Melle,2.6305692698982645
Terhulpen,2.6311574086314324
Lembeek,2.6316346504146367
Vorst-Zuid,2.6370100618480569
Torhout,2.6370781929660476
Lichtervelde,2.6388151179680446
Viane-Moerbeke,2.638846144269316
Maria-Aalter,2.6471874003734572
Belsele,2.6498227082248506
Ukkel-Kalevoet,2.6518221617970226
Beuzet,2.6542526493503531
Niel,2.655270092226614
Mechelen,2.6555558856651331
Moeskroen,2.6558914663763504
Heide,2.6568532608695652
Schoonaarde,2.656996380268678
Froyennes,2.6583594740706134
Bellem,2.6592963051468496
Opwijk,2.6607172357566591
Thulin,2.6608478384814032
Fraipont,2.6633670535849383
Genval,2.6658682318104907
Péruwelz,2.6693218933070662
Java,2.6719305574121107
Zedelgem,2.6743842693626687
Bierset-Awans,2.6757936109717344
Château-de-Seilles,2.6765966344384597
Gedinne,2.6798859455481972
Linkebeek,2.6800304822399883
Brussel-Schuman,2.687188477997062
Langdorp,2.6878667977586469
Sint-Denijs-Boekel,2.6902891769578891
Trooz,2.6913272513560437
Marche-les-Dames,2.69411178644581
Gent-Sint-Pieters,2.6951419875975378
Tubeke,2.696949973767861
Schelle,2.701067396655632
Gentbrugge,2.7043481603294294
Antwerpen-Noorderdokken,2.7056307380469775
Hove,2.706153420478695
Lot,2.7077872336493504
Vorst-Oost,2.7090552589224127
Mont-Saint-Guibert,2.7111429593125258
Hemiksem,2.7128969015044964
Hermalle-sous-Huy,2.7134902693139375
Buizingen,2.7149933659718273
Antwerpen-Berchem,2.7165412977378309
Moortsele,2.7169962109083147
Gembloux,2.7174096011733514
Zolder-Kruissporen,2.7220721577579101
Hofstade,2.7233301352339181
Munkzwalm,2.7245429377017389
Malderen,2.7247107359635812
Anderlecht,2.7285859433488824
Luik-Guillemins,2.7286560615658947
Nessonvaux,2.7290794186713415
Mérode,2.731151176686891
Buggenhout,2.7325032080224324
Brussel-Noord,2.7354629448734515
Wichelen,2.7450883002207506
Sclaigneaux,2.7477361657662465
Céroux-Mousty,2.7494835725374648
Duffel,2.7534293217763081
Tilleur,2.7543119990969635
Saint-Ghislain,2.7588330641180958
Wetteren,2.7600565866571488
Nijlen,2.7605273302319062
Ede,2.7611532490574407
Beauraing,2.776521032010054
Merelbeke,2.7852267743044442
Sint-Gillis(Dendermonde),2.7857385827109623
Merchtem,2.7860107761852733
Pepinster,2.7927394988167681
Bouwel,2.7973287791206866
Erembodegem,2.7975898602853018
Ninove,2.805033655253146
