station,num_trains,avg_arrival_delay,avg_departure_delay
Jamioulx,30,1.9414389799635701,2.1448635536688902
Java,105,2.6695835004232946,2.6719305574121107
Jemappes,178,3.0834310659369299,3.2202749308605824
Jemeppe-Froidmont,9,6.81875,6.81875
Jemeppe-sur-Meuse,116,2.6530290672647772,3.0000542888165038
Jemeppe-sur-Sambre,138,1.9039966595084705,2.0659650327246098
Jemeppe-sur-Sambre-Marchandise,137,1.8681180588089398,1.8687969061463701
Jette,293,2.6899145349253809,2.8936098720221283
Jurbeke,154,2.8624604538072305,3.34160000374248
Juslenville,33,0.93582461385151968167,1.9889301634472511
Kalmthout,40,1.9813045209396605,2.6152505802146794
Kapellen,52,2.1800657039457503,3.4001314544116101
Kapellen-Wijkspoor,52,2.1518818068202107,1.904312005135887
Kapelle-op-den-Bos,160,1.7751885665668614,2.2472535096310806
Kessel,141,2.6243028743028743,2.8189253154146324
Kiewit,99,3.9166158837635774,3.8222527937690484
Kijkuit,40,2.0690820730424691,2.1641732854604142
Kinkempois-Formation,43,10.3050561797752809,10.3194496560350219
Kinkempois-Réception,1,-0.06666666666666666667,-0.06666666666666666667
Kinkempois-Relais,107,1.2698077210036026,1.2698077210036026
Knokke,36,2.2134275866919885,1.7017213114754098
Koksijde,66,1.6779978586723769,2.8134921336397384
Komen,37,2.8744071260001151,3.406591943657133
Kontich-Lint,479,2.4503410053722894,2.5070154730141879
Kortemark,66,1.9488280788759003,2.5262965571893986
Kortenberg,449,2.8490928660675307,2.948786229108269
Kortenberg-Goederen,408,2.0226088613508397,2.0222696565671467
Kortrijk,363,3.1008922701230394,2.1517670587046142
Kortrijk-Goederen,2,3.6,3.6
Kwatrecht,373,2.3644454595421662,2.6206381670112413
Labuissière,15,3.3079642248722317,3.4164822695035461
La Louvière-Centrum,152,1.9577761419132433,1.9277330105273301
La Louvière-Industriestation,151,1.6173637515842839,1.6177744697132745
La Louvière-Zuid,212,1.8675655514149924,2.134207666972259
Landegem,209,2.1230360172627791,2.1963353036308141
Landelies,15,0.71453199617956065,2.6166286799620133
Landen,289,3.8691974092094188,3.9101646572723629
Landskouter,38,2.6966316183749365,3.3440733333333333
Langdorp,251,2.1412255855077334,2.6878667977586469
La Roche(Brabant),76,1.227666634911562,2.6300129898932294
Lauwe,39,2.5906737716041991,2.5906737716041991
Lebbeke,147,2.4537004830917874,3.0071886697341184
Le Campinaire,137,1.9843231732625918,2.2959843158464035
Lede,201,2.8287520217927982,3.1910837257314159
Leignon,34,1.0856705046686143,2.0522929500342231
