route,train,station,latitude,longitude
IC 08,2626,Kortenberg,50.89300415046401,4.543312926825426
IC 08,2605,Hove,51.15406191789155,4.465214254147384
IC 08,2605,Kontich-Lint,51.13368368793974,4.47689680687504
IC 06-1,1927,Zaventem,50.885632548337114,4.469909600155111
IC 23-2,2804,Brussel-Congres,50.85178018311057,4.362219760072247
IC 01,527,Schaarbeek,50.87869266989909,4.378431524039678
IC 01,528,Trooz,50.57328744502597,5.688448772904129
IC 10,4326,Lommel,51.211527124043826,5.310537299130095
IC 09,2904,Hasselt,50.93094539063631,5.326071324066093
IC 31,3105,De Hoek,50.73924115834706,4.370342368877128
IC 31,3105,Sint-Genesius-Rode,50.74811387437947,4.361939405198446
L B19,4004,Meiser,50.854757009079435,4.394274208667772
IC 22,3326,Mortsel-Deurnesteenweg,51.18231715581698,4.447187644772542
IC 17,2526,Namen,50.46920536707373,4.862754782172303
IC 04-1,705,Antwerpen-Zuid,51.19721428415948,4.391779006927757
L B19,4004,Schaarbeek-Josaphat,50.86036295580361,4.395006896335754
IC 06-2,3705,'s-Gravenbrakel,50.60484523104407,4.138162426655214
IC 23-1,2303,Zottegem,50.86909906459784,3.814701035934551
IC 08,2626,Nossegem,50.88344233385105,4.506060556822931
IC 20,2205,Merelbeke,51.020057593681734,3.764835020911601
IC 20,2227,Merchtem,50.95391293799017,4.223681249280842
L L1-1,5275,Luik-Carré,50.64016117047732,5.561580820714428
L 28,876,Wetteren,51.00149929084834,3.881915592818523
IC 29,3628,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 06-2,3726,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 31,3105,Holleken,50.767015163038835,4.354770803816823
L B19,4004,Evere,50.8682065685372,4.401355062293686
L 28,855,De Pinte,50.998952524822585,3.655383901672195
L B19,4027,Leuven,50.88136571115078,4.716208512981546
IC 01,528,Chaudfontaine,50.58695623775602,5.644168864995391
IC 08,2605,Duffel,51.091684329214274,4.492767295335319
IC 20,2227,Mollem,50.932896546874765,4.216581185073014
IC 08,2605,Sint-Katelijne-Waver,51.07092770112268,4.495807348133646
L 11,6077,Graide,49.93372052397986,5.043616894147011
IC 22,3326,Mortsel-Oude God,51.171808099384776,4.455388660748518
IC 06-2,3726,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 01,528,Chênée,50.60835327318151,5.614856781125281
IC 10,4326,Balen-Werkplaatsen,51.204947001662255,5.245949995002284
L B19,4005,Nijvel,50.6004932591792,4.335288481441468
L B19,4004,Bordet,50.8777742574513,4.410014404476271
IC 31,3105,Linkebeek,50.77339212483393,4.339918296891916
L B1-1,1776,Antwerpen-Berchem,51.1988702961587,4.432979473543215
IC 06-1,1905,Havinnes,50.61882981688033,3.49566068071467
L L1-1,5275,Luik-Sint-Lambertus,50.64694935205776,5.57261263700804
L B10-1,2076,Brussel-Noord,50.85959959838314,4.361252318634824
IC 11,3405,Familleureux,50.519411502375476,4.211654529557394
IC 02,1826,Beervelde,51.087172443782855,3.879980395685934
IC 23-1,2303,Hillegem,50.89129484430886,3.857476893082532
IC 06-1,1927,Diegem,50.89062008445345,4.441952580833079
IC 08,2605,Mechelen-Nekkerspoel,51.030011706650285,4.490206757525486
L B3,2255,Zottegem,50.86909906459784,3.814701035934551
IC 20,2227,Asse,50.90670257176685,4.208230395126666
IC 23-1,2303,Herzele,50.89692470109805,3.879519908406242
IC 22,3326,Hove,51.15406191789155,4.465214254147384
IC 06-2,3705,Hennuyères,50.65091444999998,4.176132141679284
IC 01,528,Angleur,50.61253000192086,5.600948994820556
IC 06-2,3705,Hennuyères-Garage,50.6479509231809,4.173327027471045
IC 31,3105,Ukkel-Kalevoet,50.79221449555428,4.331745965347926
IC 04-1,705,Zwijndrecht,51.213640244311954,4.324671903684774
IC 06-1,1904,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 17,2526,Rhisnes-Sas,50.50059749700802,4.799814589897698
IC 17,2526,Rhisnes,50.4993004915618,4.801803854068583
IC 31,3105,Ukkel-Stalle,50.80248548912509,4.323778171903269
L B19,4004,Haren,50.888870897054744,4.420030838936388
L B19,4005,Baulers,50.61231055874444,4.350260827251606
IC 22,3326,Kontich-Lint,51.13368368793974,4.47689680687504
IC 29,3629,Tienen,50.8079314339937,4.925636678946889
L B19,4027,Herent,50.90358929255643,4.672141055672479
IC 23-1,2303,Terhagen,50.90182412616037,3.897482385381147
IC 11,3405,Marche-lez-Ecaussinnes,50.54620487800974,4.177102420598815
IC 08,2626,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
L B10-1,2076,Brussel-Congres,50.85178018311057,4.362219760072247
IC 23-2,2804,Brussel-Noord,50.85959959838314,4.361252318634824
IC 20,2205,Melle,51.002749921068165,3.796939037051605
L 11,6055,Namen,50.46920536707373,4.862754782172303
L 28,876,Kwatrecht,50.99155010054474,3.833335262496046
L 11,6055,Namur-Herbatte,50.469169910735076,4.869133583242475
IC 01,527,Brussel-Noord,50.85959959838314,4.361252318634824
L B1-1,1776,Mortsel-Deurnesteenweg,51.18231715581698,4.447187644772542
IC 04-1,705,Melsele,51.21082656268172,4.288506223071698
IC 29,3628,Anderlecht,50.817918890620895,4.29153935389493
IC 17,2526,Saint-Denis-Bovesse,50.521297001857974,4.767791995102788
L B19,4027,Veltem,50.90055001720875,4.633517445095211
IC 31,3105,Vorst-Oost,50.81020033751361,4.320981153478699
IC 06-2,3705,Tubeke,50.69169220545364,4.20581147629095
IC 06-1,1904,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 06-1,1927,Haren-Zuid,50.889616892134654,4.415076991166356
IC 23-1,2303,Burst,50.90690477967195,3.920956497963406
IC 20,2227,Zellik,50.889543320907,4.275293625047353
IC 20,2205,Kwatrecht,50.99155010054474,3.833335262496046
L B10-1,2076,Brussel-Centraal,50.84531101978561,4.35675831766839
L 28,876,Melle,51.002749921068165,3.796939037051605
L 13-2,5977,Messancy,49.594027856871506,5.81831958125903
IC 06-2,3705,Lembeek,50.71511214097718,4.221567770089727
IC 17,2526,Beuzet,50.532974982431014,4.750194075854363
IC 04-1,705,Beveren(Waas),51.208473876872844,4.260777895162216
IC 22,3326,Duffel,51.091684329214274,4.492767295335319
IC 09,2904,Diepenbeek,50.9117654559103,5.41632753993968
IC 22,3326,Sint-Katelijne-Waver,51.07092770112268,4.495807348133646
L B19,4027,Erps-Kwerps,50.89654505809275,4.584930600736926
L B1-1,1776,Mortsel-Oude God,51.171808099384776,4.455388660748518
IC 31,3126,Brussel-Noord,50.85959959838314,4.361252318634824
IC 17,2526,Lonzée,50.55197706629923,4.720151428541858
L B10-1,2076,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 23-2,2804,Schaarbeek,50.87869266989909,4.378431524039678
L B3,2255,Hillegem,50.89129484430886,3.857476893082532
IC 11,3405,Ecaussinnes,50.56236360511417,4.156673065283353
IC 06-1,1927,Schaarbeek,50.87869266989909,4.378431524039678
IC 01,527,Brussel-Congres,50.85178018311057,4.362219760072247
IC 01,504,Brussel-Zuid,50.83580082886068,4.336052466325346
L 28,876,Merelbeke,51.020057593681734,3.764835020911601
IC 06-2,3726,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 06-2,3705,Halle,50.733060256649814,4.239823954453461
IC 06-1,1904,Brussel-Centraal,50.84531101978561,4.35675831766839
L B19,4027,Kortenberg,50.89300415046401,4.543312926825426
IC 08,2605,Mechelen,51.01761866620954,4.483579828080118
IC 23-1,2303,Ede,50.91099162785289,3.987780754836433
L 11,6055,Jambes,50.45397911996434,4.875468217584368
IC 04-1,727,Kortrijk,50.82441338246862,3.267774528680328
IC 01,528,Luik-Guillemins,50.62555824033023,5.565379651677738
IC 06-1,1904,Brussel-Congres,50.85178018311057,4.362219760072247
IC 06-1,1905,Leuze,50.60055276661659,3.616784177194411
L B10-1,2055,Brussel-Zuid,50.83580082886068,4.336052466325346
L 11,6077,Gedinne,49.98409071470052,4.97816774883466
IC 31,3126,Brussel-Congres,50.85178018311057,4.362219760072247
IC 04-1,705,Nieuwkerken-Waas,51.18508212954049,4.184439116403614
L B19,4027,Nossegem,50.88344233385105,4.506060556822931
L B1-1,1776,Hove,51.15406191789155,4.465214254147384
L 11,6077,Gedinne-Marchandises,49.98522277357419,4.978550757453018
IC 22,3326,Mechelen-Nekkerspoel,51.030011706650285,4.490206757525486
IC 04-1,705,Sint-Niklaas-Oost,51.176623377622434,4.159519894481113
L B19,4005,Lillois,50.64367353246769,4.363394702678375
IC 29,3629,Vertrijk,50.83594652922674,4.836594370794067
IC 10,4326,Mol,51.19069542549062,5.114991873356337
L B3,2255,Herzele,50.89692470109805,3.879519908406242
IC 20,2205,Wetteren,51.00149929084834,3.881915592818523
IC 23-1,2303,Haaltert,50.907066641303196,4.021716617534101
IC 01,504,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 01,527,Brussel-Centraal,50.84531101978561,4.35675831766839
L B8-2,5676,Louvain-la-Neuve,50.669942365664625,4.616284940483432
IC 01,505,Brugge,51.19727306937378,3.216852878213191
L B10-1,2055,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 31,3105,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 09,2904,Bilzen-Wijkspoor,50.87164775246125,5.509354730128338
IC 20,2227,Jette,50.88120457651592,4.332923410788644
IC 23-1,2303,Welle,50.90304992098791,4.05086651791031
IC 02,1826,Gent-Dampoort,51.056728987048956,3.740515250330524
IC 20,2227,Bockstael,50.87943983166831,4.348514000855896
IC 06-1,1927,Brussel-Noord,50.85959959838314,4.361252318634824
L B3,2255,Terhagen,50.90182412616037,3.897482385381147
IC 20,2205,Schellebelle,51.00312616442199,3.92143307788236
IC 01,527,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
L B2-2,3755,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 17,2526,Gembloux,50.57124514484745,4.690630393213297
IC 31,3126,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 09,2904,Bilzen,50.868680426197486,5.509372414884934
L B1-1,1776,Kontich-Lint,51.13368368793974,4.47689680687504
IC 31,3126,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
L B10-1,2055,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 02,1826,Gentbrugge,51.03878033373764,3.756083021687756
IC 01,504,Brussel-Centraal,50.84531101978561,4.35675831766839
L 13-2,5977,Athus,49.563854762384,5.829224589508755
IC 01,505,Oostkamp,51.15421490987769,3.257626153621203
