route,train,departure
L 08,6278,2023-01-02 07:04:00.000000 +00:00
L A2,2379,2023-01-02 07:05:00.000000 +00:00
L 37-1,4407,2023-01-02 07:07:00.000000 +00:00
L C1,4558,2023-01-02 07:10:00.000000 +00:00
L G1,779,2023-01-02 07:11:00.000000 +00:00
L B9,3280,2023-01-02 07:12:00.000000 +00:00
L 10-1,6178,2023-01-02 07:13:00.000000 +00:00
IC 14,1708,2023-01-02 07:13:00.000000 +00:00
L 03,2458,2023-01-02 07:13:00.000000 +00:00
L 11,6080,2023-01-02 07:14:00.000000 +00:00
L B5-2,3558,2023-01-02 07:14:00.000000 +00:00
L G1,758,2023-01-02 07:14:00.000000 +00:00
IC 15,4908,2023-01-02 07:17:00.000000 +00:00
L A4-2,2658,2023-01-02 07:19:00.000000 +00:00
IC 18,2430,2023-01-02 07:20:00.000000 +00:00
L 13-1,5858,2023-01-02 07:21:00.000000 +00:00
L A3,2958,2023-01-02 07:24:00.000000 +00:00
IC 05,4508,2023-01-02 07:24:00.000000 +00:00
IC 26,3231,2023-01-02 07:24:00.000000 +00:00
L B20-2,6479,2023-01-02 07:25:00.000000 +00:00
L 36,1679,2023-01-02 07:27:00.000000 +00:00
L B8-1,3958,2023-01-02 07:27:00.000000 +00:00
L A5,6758,2023-01-02 07:30:00.000000 +00:00
L 13-2,5980,2023-01-02 07:32:00.000000 +00:00
L B5-2,3579,2023-01-02 07:34:00.000000 +00:00
L B7,3458,2023-01-02 07:34:00.000000 +00:00
L 31,4078,2023-01-02 07:34:00.000000 +00:00
L 15,5580,2023-01-02 07:35:00.000000 +00:00
L B7,3479,2023-01-02 07:35:00.000000 +00:00
L A3,2979,2023-01-02 07:35:00.000000 +00:00
L A2,2358,2023-01-02 07:36:00.000000 +00:00
L B4,2180,2023-01-02 07:37:00.000000 +00:00
IC 19-1,930,2023-01-02 07:38:00.000000 +00:00
L B4,2158,2023-01-02 07:38:00.000000 +00:00
IC 26,3208,2023-01-02 07:38:00.000000 +00:00
L A4-2,2679,2023-01-02 07:38:00.000000 +00:00
L B8-1,3980,2023-01-02 07:39:00.000000 +00:00
L B9,3258,2023-01-02 07:40:00.000000 +00:00
L B2-1,3680,2023-01-02 07:41:00.000000 +00:00
IC 15,4929,2023-01-02 07:41:00.000000 +00:00
L 15,5558,2023-01-02 07:41:00.000000 +00:00
IC 05,4530,2023-01-02 07:42:00.000000 +00:00
IC 19-1,908,2023-01-02 07:43:00.000000 +00:00
IC 13,5108,2023-01-02 07:43:00.000000 +00:00
IC 07,2031,2023-01-02 07:46:00.000000 +00:00
IC 12,431,2023-01-02 07:48:00.000000 +00:00
L B2-1,3658,2023-01-02 07:51:00.000000 +00:00
IC 28,3008,2023-01-02 07:51:00.000000 +00:00
L 11,6058,2023-01-02 07:52:00.000000 +00:00
IC 28,3031,2023-01-02 07:52:00.000000 +00:00
IC 07,2008,2023-01-02 07:53:00.000000 +00:00
L 36,1658,2023-01-02 07:53:00.000000 +00:00
L 26,4458,2023-01-02 07:54:00.000000 +00:00
L C2-1,4258,2023-01-02 07:54:00.000000 +00:00
