route,train,departure
L 04,4660,2023-01-01 09:37:00.000000 +00:00
IC 08,2632,2023-01-01 09:37:00.000000 +00:00
IC 32,831,2023-01-01 09:37:00.000000 +00:00
IC 04-1,710,2023-01-01 09:37:00.000000 +00:00
L C2-2,4380,2023-01-01 09:38:00.000000 +00:00
L 01,4960,2023-01-01 09:39:00.000000 +00:00
L C4,3931,2023-01-01 09:40:00.000000 +00:00
IC 22,3331,2023-01-01 09:40:00.000000 +00:00
L 27,2760,2023-01-01 09:40:00.000000 +00:00
IC 06-1,1932,2023-01-01 09:41:00.000000 +00:00
IC 20,2210,2023-01-01 09:41:00.000000 +00:00
L 27,2781,2023-01-01 09:42:00.000000 +00:00
L 02,581,2023-01-01 09:43:00.000000 +00:00
IC 01,510,2023-01-01 09:43:00.000000 +00:00
L L2,5460,2023-01-01 09:43:00.000000 +00:00
IC 06-1,1910,2023-01-01 09:44:00.000000 +00:00
L 26,4481,2023-01-01 09:45:00.000000 +00:00
L B1-1,1781,2023-01-01 09:45:00.000000 +00:00
L G3,660,2023-01-01 09:45:00.000000 +00:00
L C1,4582,2023-01-01 09:46:00.000000 +00:00
L 23,2860,2023-01-01 09:46:00.000000 +00:00
L B19,4032,2023-01-01 09:48:00.000000 +00:00
L B8-4,6560,2023-01-01 09:48:00.000000 +00:00
IC 23-1,2310,2023-01-01 09:48:00.000000 +00:00
L B19,4010,2023-01-01 09:50:00.000000 +00:00
L B3,2260,2023-01-01 09:51:00.000000 +00:00
IC 29,3610,2023-01-01 09:52:00.000000 +00:00
IC 30,4231,2023-01-01 09:54:00.000000 +00:00
IC 03,1510,2023-01-01 09:54:00.000000 +00:00
L 24,4131,2023-01-01 09:54:00.000000 +00:00
L G3,682,2023-01-01 09:54:00.000000 +00:00
L 04,4681,2023-01-01 09:54:00.000000 +00:00
L B8-2,5660,2023-01-01 09:54:00.000000 +00:00
L B6,1560,2023-01-01 09:56:00.000000 +00:00
L 10-2,981,2023-01-01 09:56:00.000000 +00:00
L B10-1,2060,2023-01-01 09:57:00.000000 +00:00
L B20-1,3081,2023-01-01 09:57:00.000000 +00:00
IC 23-2,2832,2023-01-01 09:57:00.000000 +00:00
L B8-2,5681,2023-01-01 09:58:00.000000 +00:00
L B1-2,1961,2023-01-01 10:02:00.000000 +00:00
IC 17,2511,2023-01-01 10:03:00.000000 +00:00
L 08,6281,2023-01-01 10:03:00.000000 +00:00
L L1-1,5261,2023-01-01 10:04:00.000000 +00:00
L 13-1,5881,2023-01-01 10:05:00.000000 +00:00
L B5-1,3382,2023-01-01 10:05:00.000000 +00:00
L L4,5181,2023-01-01 10:05:00.000000 +00:00
L G2,1881,2023-01-01 10:05:00.000000 +00:00
L G2,1861,2023-01-01 10:05:00.000000 +00:00
L 28,882,2023-01-01 10:06:00.000000 +00:00
L B10-1,2082,2023-01-01 10:06:00.000000 +00:00
IC 02,1832,2023-01-01 10:06:00.000000 +00:00
IC 31,3111,2023-01-01 10:06:00.000000 +00:00
L 29,4882,2023-01-01 10:06:00.000000 +00:00
L B10-2,3861,2023-01-01 10:06:00.000000 +00:00
L B10-2,3881,2023-01-01 10:06:00.000000 +00:00
L B1-1,1761,2023-01-01 10:07:00.000000 +00:00
IC 04-1,733,2023-01-01 10:07:00.000000 +00:00
IC 23-2,2811,2023-01-01 10:07:00.000000 +00:00
L 37-2,4410,2023-01-01 10:07:00.000000 +00:00
IC 03,1534,2023-01-01 10:07:00.000000 +00:00
L 02,561,2023-01-01 10:07:00.000000 +00:00
L L1-1,5281,2023-01-01 10:08:00.000000 +00:00
L 16,5781,2023-01-01 10:08:00.000000 +00:00
IC 29,3634,2023-01-01 10:08:00.000000 +00:00
IC 10,4311,2023-01-01 10:09:00.000000 +00:00
IC 31,3132,2023-01-01 10:09:00.000000 +00:00
L B3,2282,2023-01-01 10:09:00.000000 +00:00
IC 02,1811,2023-01-01 10:10:00.000000 +00:00
L B1-2,1981,2023-01-01 10:10:00.000000 +00:00
L C1,4561,2023-01-01 10:10:00.000000 +00:00
L L4,5161,2023-01-01 10:10:00.000000 +00:00
L G1,782,2023-01-01 10:11:00.000000 +00:00
IC 25,3834,2023-01-01 10:11:00.000000 +00:00
L 23,2882,2023-01-01 10:11:00.000000 +00:00
L B2-2,3782,2023-01-01 10:11:00.000000 +00:00
IC 11,3432,2023-01-01 10:12:00.000000 +00:00
IC 11,3411,2023-01-01 10:12:00.000000 +00:00
IC 17,2532,2023-01-01 10:13:00.000000 +00:00
IC 23-1,2334,2023-01-01 10:13:00.000000 +00:00
IC 09,2933,2023-01-01 10:13:00.000000 +00:00
IC 25,3811,2023-01-01 10:13:00.000000 +00:00
L 10-1,6181,2023-01-01 10:13:00.000000 +00:00
L 11,6083,2023-01-01 10:14:00.000000 +00:00
L G1,761,2023-01-01 10:14:00.000000 +00:00
IC 20,2233,2023-01-01 10:15:00.000000 +00:00
IC 30,4211,2023-01-01 10:16:00.000000 +00:00
L B8-4,6582,2023-01-01 10:17:00.000000 +00:00
IC 01,534,2023-01-01 10:17:00.000000 +00:00
IC 10,4332,2023-01-01 10:19:00.000000 +00:00
IC 06-2,3711,2023-01-01 10:19:00.000000 +00:00
L 13-1,5861,2023-01-01 10:21:00.000000 +00:00
L B8-3,6361,2023-01-01 10:22:00.000000 +00:00
L B2-2,3761,2023-01-01 10:22:00.000000 +00:00
L B20-1,3061,2023-01-01 10:22:00.000000 +00:00
L 28,861,2023-01-01 10:23:00.000000 +00:00
IC 22,3311,2023-01-01 10:27:00.000000 +00:00
IC 09,2911,2023-01-01 10:27:00.000000 +00:00
L B8-3,6381,2023-01-01 10:30:00.000000 +00:00
IC 06-2,3732,2023-01-01 10:31:00.000000 +00:00
L 29,4861,2023-01-01 10:34:00.000000 +00:00
L L2,5481,2023-01-01 10:35:00.000000 +00:00
IC 29,3635,2023-01-01 10:35:00.000000 +00:00
L 15,5583,2023-01-01 10:35:00.000000 +00:00
L C2-1,4282,2023-01-01 10:35:00.000000 +00:00
L 24,4111,2023-01-01 10:35:00.000000 +00:00
IC 08,2611,2023-01-01 10:36:00.000000 +00:00
L B6,1583,2023-01-01 10:36:00.000000 +00:00
IC 04-1,711,2023-01-01 10:37:00.000000 +00:00
L 04,4661,2023-01-01 10:37:00.000000 +00:00
IC 08,2633,2023-01-01 10:37:00.000000 +00:00
IC 32,811,2023-01-01 10:37:00.000000 +00:00
IC 22,3332,2023-01-01 10:40:00.000000 +00:00
L 27,2761,2023-01-01 10:40:00.000000 +00:00
L 13-2,5983,2023-01-01 10:41:00.000000 +00:00
IC 20,2211,2023-01-01 10:41:00.000000 +00:00
IC 06-1,1933,2023-01-01 10:41:00.000000 +00:00
L 27,2782,2023-01-01 10:42:00.000000 +00:00
L 02,582,2023-01-01 10:43:00.000000 +00:00
L L2,5461,2023-01-01 10:43:00.000000 +00:00
IC 01,511,2023-01-01 10:43:00.000000 +00:00
L 15,5561,2023-01-01 10:44:00.000000 +00:00
IC 06-1,1911,2023-01-01 10:44:00.000000 +00:00
L B5-1,3361,2023-01-01 10:45:00.000000 +00:00
L B1-1,1782,2023-01-01 10:45:00.000000 +00:00
L G3,661,2023-01-01 10:45:00.000000 +00:00
L 23,2861,2023-01-01 10:46:00.000000 +00:00
L B8-4,6561,2023-01-01 10:48:00.000000 +00:00
L B19,4033,2023-01-01 10:48:00.000000 +00:00
IC 23-1,2311,2023-01-01 10:48:00.000000 +00:00
L B19,4011,2023-01-01 10:50:00.000000 +00:00
L B3,2261,2023-01-01 10:51:00.000000 +00:00
L C2-1,4261,2023-01-01 10:52:00.000000 +00:00
L 11,6061,2023-01-01 10:52:00.000000 +00:00
L 26,4461,2023-01-01 10:52:00.000000 +00:00
IC 29,3611,2023-01-01 10:52:00.000000 +00:00
L B8-2,5661,2023-01-01 10:54:00.000000 +00:00
IC 30,4232,2023-01-01 10:54:00.000000 +00:00
IC 03,1511,2023-01-01 10:54:00.000000 +00:00
L 24,4132,2023-01-01 10:54:00.000000 +00:00
L G3,683,2023-01-01 10:54:00.000000 +00:00
L 04,4682,2023-01-01 10:54:00.000000 +00:00
L B6,1561,2023-01-01 10:56:00.000000 +00:00
IC 23-2,2833,2023-01-01 10:57:00.000000 +00:00
L B10-1,2061,2023-01-01 10:57:00.000000 +00:00
L 13-2,5961,2023-01-01 10:57:00.000000 +00:00
L B20-1,3082,2023-01-01 10:57:00.000000 +00:00
L B8-2,5682,2023-01-01 10:58:00.000000 +00:00
L B1-2,1962,2023-01-01 11:02:00.000000 +00:00
IC 17,2512,2023-01-01 11:03:00.000000 +00:00
L 08,6262,2023-01-01 11:04:00.000000 +00:00
L L1-1,5262,2023-01-01 11:04:00.000000 +00:00
L G2,1862,2023-01-01 11:05:00.000000 +00:00
L L4,5182,2023-01-01 11:05:00.000000 +00:00
L G2,1882,2023-01-01 11:05:00.000000 +00:00
L 28,883,2023-01-01 11:06:00.000000 +00:00
IC 31,3112,2023-01-01 11:06:00.000000 +00:00
L B10-2,3882,2023-01-01 11:06:00.000000 +00:00
IC 02,1833,2023-01-01 11:06:00.000000 +00:00
L B10-2,3862,2023-01-01 11:06:00.000000 +00:00
L B10-1,2083,2023-01-01 11:06:00.000000 +00:00
L 29,4883,2023-01-01 11:06:00.000000 +00:00
IC 03,1535,2023-01-01 11:07:00.000000 +00:00
L 02,562,2023-01-01 11:07:00.000000 +00:00
IC 04-1,734,2023-01-01 11:07:00.000000 +00:00
L B1-1,1762,2023-01-01 11:07:00.000000 +00:00
IC 23-2,2812,2023-01-01 11:07:00.000000 +00:00
IC 25,3835,2023-01-01 11:08:00.000000 +00:00
L 37-2,4433,2023-01-01 11:08:00.000000 +00:00
L L1-1,5282,2023-01-01 11:08:00.000000 +00:00
IC 10,4312,2023-01-01 11:09:00.000000 +00:00
L B3,2283,2023-01-01 11:09:00.000000 +00:00
IC 31,3133,2023-01-01 11:09:00.000000 +00:00
IC 02,1812,2023-01-01 11:10:00.000000 +00:00
L B1-2,1982,2023-01-01 11:10:00.000000 +00:00
L L4,5162,2023-01-01 11:10:00.000000 +00:00
L B2-2,3783,2023-01-01 11:11:00.000000 +00:00
L 23,2883,2023-01-01 11:11:00.000000 +00:00
IC 11,3433,2023-01-01 11:12:00.000000 +00:00
IC 11,3412,2023-01-01 11:12:00.000000 +00:00
IC 23-1,2335,2023-01-01 11:13:00.000000 +00:00
IC 17,2533,2023-01-01 11:13:00.000000 +00:00
IC 09,2934,2023-01-01 11:13:00.000000 +00:00
IC 25,3812,2023-01-01 11:13:00.000000 +00:00
L 01,4983,2023-01-01 11:13:00.000000 +00:00
L C4,3912,2023-01-01 11:15:00.000000 +00:00
IC 20,2234,2023-01-01 11:15:00.000000 +00:00
L 10-1,6162,2023-01-01 11:16:00.000000 +00:00
IC 30,4212,2023-01-01 11:16:00.000000 +00:00
L B8-4,6583,2023-01-01 11:17:00.000000 +00:00
IC 01,535,2023-01-01 11:17:00.000000 +00:00
IC 06-2,3712,2023-01-01 11:19:00.000000 +00:00
IC 10,4333,2023-01-01 11:19:00.000000 +00:00
L 16,5762,2023-01-01 11:22:00.000000 +00:00
L B8-3,6362,2023-01-01 11:22:00.000000 +00:00
L B2-2,3762,2023-01-01 11:22:00.000000 +00:00
L B20-1,3062,2023-01-01 11:22:00.000000 +00:00
L 28,862,2023-01-01 11:23:00.000000 +00:00
IC 22,3312,2023-01-01 11:27:00.000000 +00:00
IC 09,2912,2023-01-01 11:28:00.000000 +00:00
L 10-2,962,2023-01-01 11:28:00.000000 +00:00
L C2-2,4362,2023-01-01 11:29:00.000000 +00:00
L B8-3,6382,2023-01-01 11:30:00.000000 +00:00
IC 06-2,3733,2023-01-01 11:31:00.000000 +00:00
L 29,4862,2023-01-01 11:34:00.000000 +00:00
L L2,5482,2023-01-01 11:35:00.000000 +00:00
L 24,4112,2023-01-01 11:35:00.000000 +00:00
IC 29,3636,2023-01-01 11:35:00.000000 +00:00
IC 08,2612,2023-01-01 11:36:00.000000 +00:00
L B6,1584,2023-01-01 11:36:00.000000 +00:00
IC 32,833,2023-01-01 11:37:00.000000 +00:00
IC 04-1,712,2023-01-01 11:37:00.000000 +00:00
L 04,4662,2023-01-01 11:37:00.000000 +00:00
IC 08,2634,2023-01-01 11:37:00.000000 +00:00
L C2-2,4382,2023-01-01 11:38:00.000000 +00:00
L 01,4962,2023-01-01 11:39:00.000000 +00:00
L C4,3933,2023-01-01 11:40:00.000000 +00:00
L 27,2762,2023-01-01 11:40:00.000000 +00:00
IC 22,3333,2023-01-01 11:40:00.000000 +00:00
IC 20,2212,2023-01-01 11:41:00.000000 +00:00
IC 06-1,1934,2023-01-01 11:41:00.000000 +00:00
L 27,2783,2023-01-01 11:42:00.000000 +00:00
IC 01,512,2023-01-01 11:43:00.000000 +00:00
L 02,583,2023-01-01 11:43:00.000000 +00:00
L L2,5462,2023-01-01 11:43:00.000000 +00:00
L B5-1,3383,2023-01-01 11:44:00.000000 +00:00
IC 06-1,1912,2023-01-01 11:44:00.000000 +00:00
L B1-1,1783,2023-01-01 11:45:00.000000 +00:00
L 26,4483,2023-01-01 11:45:00.000000 +00:00
L G3,662,2023-01-01 11:45:00.000000 +00:00
L B5-1,3362,2023-01-01 11:45:00.000000 +00:00
L C1,4584,2023-01-01 11:46:00.000000 +00:00
L 23,2862,2023-01-01 11:46:00.000000 +00:00
IC 23-1,2312,2023-01-01 11:48:00.000000 +00:00
L B19,4034,2023-01-01 11:48:00.000000 +00:00
L B8-4,6562,2023-01-01 11:48:00.000000 +00:00
L B19,4012,2023-01-01 11:50:00.000000 +00:00
L B3,2262,2023-01-01 11:51:00.000000 +00:00
IC 29,3612,2023-01-01 11:52:00.000000 +00:00
L 24,4133,2023-01-01 11:54:00.000000 +00:00
L 04,4683,2023-01-01 11:54:00.000000 +00:00
L B8-2,5662,2023-01-01 11:54:00.000000 +00:00
IC 30,4233,2023-01-01 11:54:00.000000 +00:00
IC 03,1512,2023-01-01 11:54:00.000000 +00:00
L G3,684,2023-01-01 11:54:00.000000 +00:00
L B6,1562,2023-01-01 11:56:00.000000 +00:00
L 10-2,983,2023-01-01 11:56:00.000000 +00:00
L B10-1,2062,2023-01-01 11:57:00.000000 +00:00
IC 23-2,2834,2023-01-01 11:57:00.000000 +00:00
L B20-1,3083,2023-01-01 11:57:00.000000 +00:00
L B8-2,5683,2023-01-01 11:58:00.000000 +00:00
L B1-2,1963,2023-01-01 12:02:00.000000 +00:00
L 08,6283,2023-01-01 12:03:00.000000 +00:00
IC 17,2513,2023-01-01 12:03:00.000000 +00:00
L L1-1,5263,2023-01-01 12:04:00.000000 +00:00
L B5-1,3384,2023-01-01 12:05:00.000000 +00:00
L G2,1863,2023-01-01 12:05:00.000000 +00:00
L L4,5183,2023-01-01 12:05:00.000000 +00:00
L G2,1883,2023-01-01 12:05:00.000000 +00:00
L 13-1,5883,2023-01-01 12:05:00.000000 +00:00
IC 31,3113,2023-01-01 12:06:00.000000 +00:00
L 29,4884,2023-01-01 12:06:00.000000 +00:00
L 28,884,2023-01-01 12:06:00.000000 +00:00
L B10-1,2084,2023-01-01 12:06:00.000000 +00:00
L B10-2,3863,2023-01-01 12:06:00.000000 +00:00
IC 02,1834,2023-01-01 12:06:00.000000 +00:00
L B10-2,3883,2023-01-01 12:06:00.000000 +00:00
L 37-2,4412,2023-01-01 12:07:00.000000 +00:00
L B1-1,1763,2023-01-01 12:07:00.000000 +00:00
IC 04-1,735,2023-01-01 12:07:00.000000 +00:00
IC 03,1536,2023-01-01 12:07:00.000000 +00:00
L 02,563,2023-01-01 12:07:00.000000 +00:00
IC 23-2,2813,2023-01-01 12:07:00.000000 +00:00
L L1-1,5283,2023-01-01 12:08:00.000000 +00:00
L 16,5783,2023-01-01 12:08:00.000000 +00:00
IC 25,3836,2023-01-01 12:08:00.000000 +00:00
IC 10,4313,2023-01-01 12:09:00.000000 +00:00
L B3,2284,2023-01-01 12:09:00.000000 +00:00
IC 31,3134,2023-01-01 12:09:00.000000 +00:00
L L4,5163,2023-01-01 12:10:00.000000 +00:00
L B1-2,1983,2023-01-01 12:10:00.000000 +00:00
IC 02,1813,2023-01-01 12:10:00.000000 +00:00
L C1,4563,2023-01-01 12:10:00.000000 +00:00
L B2-2,3784,2023-01-01 12:11:00.000000 +00:00
L 23,2884,2023-01-01 12:11:00.000000 +00:00
L G1,784,2023-01-01 12:11:00.000000 +00:00
IC 11,3434,2023-01-01 12:12:00.000000 +00:00
IC 11,3413,2023-01-01 12:12:00.000000 +00:00
IC 17,2534,2023-01-01 12:13:00.000000 +00:00
L 10-1,6183,2023-01-01 12:13:00.000000 +00:00
IC 23-1,2336,2023-01-01 12:13:00.000000 +00:00
IC 09,2935,2023-01-01 12:13:00.000000 +00:00
IC 25,3813,2023-01-01 12:13:00.000000 +00:00
L 11,6085,2023-01-01 12:14:00.000000 +00:00
L G1,763,2023-01-01 12:14:00.000000 +00:00
IC 20,2235,2023-01-01 12:15:00.000000 +00:00
IC 30,4213,2023-01-01 12:16:00.000000 +00:00
L B8-4,6584,2023-01-01 12:17:00.000000 +00:00
IC 01,536,2023-01-01 12:17:00.000000 +00:00
IC 06-2,3713,2023-01-01 12:19:00.000000 +00:00
IC 10,4334,2023-01-01 12:19:00.000000 +00:00
L 13-1,5863,2023-01-01 12:21:00.000000 +00:00
L B2-2,3763,2023-01-01 12:22:00.000000 +00:00
L B8-3,6363,2023-01-01 12:22:00.000000 +00:00
L B20-1,3063,2023-01-01 12:22:00.000000 +00:00
L 28,863,2023-01-01 12:23:00.000000 +00:00
IC 22,3313,2023-01-01 12:27:00.000000 +00:00
IC 09,2913,2023-01-01 12:28:00.000000 +00:00
L B8-3,6383,2023-01-01 12:30:00.000000 +00:00
IC 06-2,3734,2023-01-01 12:31:00.000000 +00:00
L 29,4863,2023-01-01 12:34:00.000000 +00:00
L 15,5585,2023-01-01 12:35:00.000000 +00:00
IC 29,3637,2023-01-01 12:35:00.000000 +00:00
L L2,5483,2023-01-01 12:35:00.000000 +00:00
L 24,4113,2023-01-01 12:35:00.000000 +00:00
L C2-1,4284,2023-01-01 12:35:00.000000 +00:00
IC 08,2613,2023-01-01 12:36:00.000000 +00:00
L B6,1585,2023-01-01 12:36:00.000000 +00:00
L 04,4663,2023-01-01 12:37:00.000000 +00:00
IC 08,2635,2023-01-01 12:37:00.000000 +00:00
IC 04-1,713,2023-01-01 12:37:00.000000 +00:00
IC 32,813,2023-01-01 12:37:00.000000 +00:00
IC 22,3334,2023-01-01 12:40:00.000000 +00:00
L 27,2763,2023-01-01 12:40:00.000000 +00:00
L 13-2,5985,2023-01-01 12:41:00.000000 +00:00
IC 06-1,1935,2023-01-01 12:41:00.000000 +00:00
IC 20,2213,2023-01-01 12:41:00.000000 +00:00
L 27,2784,2023-01-01 12:42:00.000000 +00:00
IC 01,513,2023-01-01 12:43:00.000000 +00:00
L L2,5463,2023-01-01 12:43:00.000000 +00:00
L 02,584,2023-01-01 12:43:00.000000 +00:00
IC 06-1,1913,2023-01-01 12:44:00.000000 +00:00
L 15,5563,2023-01-01 12:44:00.000000 +00:00
L B5-1,3363,2023-01-01 12:45:00.000000 +00:00
L G3,663,2023-01-01 12:45:00.000000 +00:00
L B1-1,1784,2023-01-01 12:45:00.000000 +00:00
L 23,2863,2023-01-01 12:46:00.000000 +00:00
L B8-4,6563,2023-01-01 12:48:00.000000 +00:00
L B19,4035,2023-01-01 12:48:00.000000 +00:00
IC 23-1,2313,2023-01-01 12:48:00.000000 +00:00
L B19,4013,2023-01-01 12:50:00.000000 +00:00
L B3,2263,2023-01-01 12:51:00.000000 +00:00
L C2-1,4263,2023-01-01 12:52:00.000000 +00:00
L 11,6063,2023-01-01 12:52:00.000000 +00:00
L 26,4463,2023-01-01 12:52:00.000000 +00:00
IC 29,3613,2023-01-01 12:52:00.000000 +00:00
L 04,4684,2023-01-01 12:54:00.000000 +00:00
L G3,685,2023-01-01 12:54:00.000000 +00:00
IC 03,1513,2023-01-01 12:54:00.000000 +00:00
L B8-2,5663,2023-01-01 12:54:00.000000 +00:00
IC 30,4234,2023-01-01 12:54:00.000000 +00:00
L 24,4134,2023-01-01 12:54:00.000000 +00:00
L B6,1563,2023-01-01 12:56:00.000000 +00:00
IC 23-2,2835,2023-01-01 12:57:00.000000 +00:00
L B10-1,2063,2023-01-01 12:57:00.000000 +00:00
L B20-1,3084,2023-01-01 12:57:00.000000 +00:00
L 13-2,5963,2023-01-01 12:57:00.000000 +00:00
L B8-2,5684,2023-01-01 12:58:00.000000 +00:00
L B1-2,1964,2023-01-01 13:02:00.000000 +00:00
IC 17,2514,2023-01-01 13:03:00.000000 +00:00
L L1-1,5264,2023-01-01 13:04:00.000000 +00:00
L 08,6264,2023-01-01 13:04:00.000000 +00:00
L G2,1864,2023-01-01 13:05:00.000000 +00:00
L G2,1884,2023-01-01 13:05:00.000000 +00:00
L L4,5184,2023-01-01 13:05:00.000000 +00:00
L B5-1,3385,2023-01-01 13:05:00.000000 +00:00
L 29,4885,2023-01-01 13:06:00.000000 +00:00
IC 31,3114,2023-01-01 13:06:00.000000 +00:00
L 28,885,2023-01-01 13:06:00.000000 +00:00
L B10-1,2085,2023-01-01 13:06:00.000000 +00:00
IC 02,1835,2023-01-01 13:06:00.000000 +00:00
L B10-2,3864,2023-01-01 13:06:00.000000 +00:00
L B10-2,3884,2023-01-01 13:06:00.000000 +00:00
IC 03,1537,2023-01-01 13:07:00.000000 +00:00
L B1-1,1764,2023-01-01 13:07:00.000000 +00:00
IC 23-2,2814,2023-01-01 13:07:00.000000 +00:00
IC 04-1,736,2023-01-01 13:07:00.000000 +00:00
L 02,564,2023-01-01 13:07:00.000000 +00:00
IC 25,3837,2023-01-01 13:08:00.000000 +00:00
L L1-1,5284,2023-01-01 13:08:00.000000 +00:00
L 37-2,4435,2023-01-01 13:08:00.000000 +00:00
L B3,2285,2023-01-01 13:09:00.000000 +00:00
IC 31,3135,2023-01-01 13:09:00.000000 +00:00
IC 10,4314,2023-01-01 13:09:00.000000 +00:00
L B1-2,1984,2023-01-01 13:10:00.000000 +00:00
IC 02,1814,2023-01-01 13:10:00.000000 +00:00
L L4,5164,2023-01-01 13:10:00.000000 +00:00
L 23,2885,2023-01-01 13:11:00.000000 +00:00
L B2-2,3785,2023-01-01 13:11:00.000000 +00:00
IC 11,3414,2023-01-01 13:12:00.000000 +00:00
IC 11,3435,2023-01-01 13:12:00.000000 +00:00
L 01,4985,2023-01-01 13:13:00.000000 +00:00
IC 25,3814,2023-01-01 13:13:00.000000 +00:00
IC 17,2535,2023-01-01 13:13:00.000000 +00:00
IC 23-1,2337,2023-01-01 13:13:00.000000 +00:00
IC 09,2936,2023-01-01 13:13:00.000000 +00:00
L C4,3914,2023-01-01 13:15:00.000000 +00:00
IC 20,2236,2023-01-01 13:15:00.000000 +00:00
IC 30,4214,2023-01-01 13:16:00.000000 +00:00
L 10-1,6164,2023-01-01 13:16:00.000000 +00:00
IC 01,537,2023-01-01 13:17:00.000000 +00:00
L B8-4,6585,2023-01-01 13:17:00.000000 +00:00
IC 10,4335,2023-01-01 13:19:00.000000 +00:00
IC 06-2,3714,2023-01-01 13:19:00.000000 +00:00
L B8-3,6364,2023-01-01 13:22:00.000000 +00:00
L B2-2,3764,2023-01-01 13:22:00.000000 +00:00
L B20-1,3064,2023-01-01 13:22:00.000000 +00:00
L 16,5764,2023-01-01 13:22:00.000000 +00:00
L 28,864,2023-01-01 13:23:00.000000 +00:00
IC 22,3314,2023-01-01 13:27:00.000000 +00:00
IC 09,2914,2023-01-01 13:28:00.000000 +00:00
L 10-2,964,2023-01-01 13:28:00.000000 +00:00
L C2-2,4364,2023-01-01 13:29:00.000000 +00:00
L B8-3,6384,2023-01-01 13:30:00.000000 +00:00
L 29,4864,2023-01-01 13:34:00.000000 +00:00
L L2,5484,2023-01-01 13:35:00.000000 +00:00
IC 29,3638,2023-01-01 13:35:00.000000 +00:00
L 24,4114,2023-01-01 13:35:00.000000 +00:00
IC 08,2614,2023-01-01 13:36:00.000000 +00:00
L B6,1586,2023-01-01 13:36:00.000000 +00:00
L 04,4664,2023-01-01 13:37:00.000000 +00:00
IC 08,2636,2023-01-01 13:37:00.000000 +00:00
IC 04-1,714,2023-01-01 13:37:00.000000 +00:00
IC 32,835,2023-01-01 13:37:00.000000 +00:00
L C2-2,4384,2023-01-01 13:38:00.000000 +00:00
L 01,4964,2023-01-01 13:39:00.000000 +00:00
L C4,3935,2023-01-01 13:40:00.000000 +00:00
IC 22,3335,2023-01-01 13:40:00.000000 +00:00
L 27,2764,2023-01-01 13:40:00.000000 +00:00
IC 20,2214,2023-01-01 13:41:00.000000 +00:00
IC 06-1,1936,2023-01-01 13:41:00.000000 +00:00
L 27,2785,2023-01-01 13:42:00.000000 +00:00
L 02,585,2023-01-01 13:43:00.000000 +00:00
L L2,5464,2023-01-01 13:43:00.000000 +00:00
IC 01,514,2023-01-01 13:43:00.000000 +00:00
IC 06-1,1914,2023-01-01 13:44:00.000000 +00:00
L B5-1,3364,2023-01-01 13:45:00.000000 +00:00
L G3,664,2023-01-01 13:45:00.000000 +00:00
L 26,4485,2023-01-01 13:45:00.000000 +00:00
L B1-1,1785,2023-01-01 13:45:00.000000 +00:00
L 23,2864,2023-01-01 13:46:00.000000 +00:00
L C1,4586,2023-01-01 13:46:00.000000 +00:00
L B19,4036,2023-01-01 13:48:00.000000 +00:00
IC 23-1,2314,2023-01-01 13:48:00.000000 +00:00
L B8-4,6564,2023-01-01 13:48:00.000000 +00:00
L B19,4014,2023-01-01 13:50:00.000000 +00:00
L B3,2264,2023-01-01 13:51:00.000000 +00:00
IC 29,3614,2023-01-01 13:52:00.000000 +00:00
L B8-2,5664,2023-01-01 13:54:00.000000 +00:00
IC 30,4235,2023-01-01 13:54:00.000000 +00:00
L 24,4135,2023-01-01 13:54:00.000000 +00:00
L 04,4685,2023-01-01 13:54:00.000000 +00:00
IC 03,1514,2023-01-01 13:54:00.000000 +00:00
L G3,686,2023-01-01 13:54:00.000000 +00:00
L 10-2,985,2023-01-01 13:56:00.000000 +00:00
L B6,1564,2023-01-01 13:56:00.000000 +00:00
IC 06-2,3735,2023-01-01 13:56:00.000000 +00:00
IC 23-2,2836,2023-01-01 13:57:00.000000 +00:00
L B10-1,2064,2023-01-01 13:57:00.000000 +00:00
L B20-1,3085,2023-01-01 13:57:00.000000 +00:00
L B8-2,5685,2023-01-01 13:58:00.000000 +00:00
L B1-2,1965,2023-01-01 14:02:00.000000 +00:00
IC 17,2515,2023-01-01 14:03:00.000000 +00:00
L 08,6285,2023-01-01 14:03:00.000000 +00:00
L L1-1,5265,2023-01-01 14:04:00.000000 +00:00
L G2,1885,2023-01-01 14:05:00.000000 +00:00
L B5-1,3386,2023-01-01 14:05:00.000000 +00:00
L L4,5185,2023-01-01 14:05:00.000000 +00:00
L 13-1,5885,2023-01-01 14:05:00.000000 +00:00
L G2,1865,2023-01-01 14:05:00.000000 +00:00
IC 02,1836,2023-01-01 14:06:00.000000 +00:00
IC 31,3115,2023-01-01 14:06:00.000000 +00:00
L 28,886,2023-01-01 14:06:00.000000 +00:00
L B10-1,2086,2023-01-01 14:06:00.000000 +00:00
L B10-2,3865,2023-01-01 14:06:00.000000 +00:00
L 29,4886,2023-01-01 14:06:00.000000 +00:00
L B10-2,3885,2023-01-01 14:06:00.000000 +00:00
L B1-1,1765,2023-01-01 14:07:00.000000 +00:00
IC 23-2,2815,2023-01-01 14:07:00.000000 +00:00
L 37-2,4414,2023-01-01 14:07:00.000000 +00:00
IC 03,1538,2023-01-01 14:07:00.000000 +00:00
L 02,565,2023-01-01 14:07:00.000000 +00:00
IC 04-1,737,2023-01-01 14:07:00.000000 +00:00
