id,name,latitude,longitude,count
1151,Tongeren,50.78417812241077,5.473981817007522,11532
862,Morlanwelz,50.45819475895926,4.247606842005881,30707
494,Haaltert,50.907066641303196,4.021716617534101,37853
683,Landelies,50.37744147997038,4.35082634155706,3517
118,Bas-Oha,50.52248172084146,5.191103060084089,30095
793,Marchienne-Zone,50.397619848761245,4.389973803252673,3517
317,Deinze,50.9781328604359,3.535002801077202,38736
1265,Zele,51.073037159646034,4.042379417228101,14585
488,Groot-Bijgaarden,50.86839848514289,4.274515963982332,19888
126,Beauraing,50.113835526135354,4.957023362536677,9139
1048,Schaarbeek,50.87869266989909,4.378431524039678,228352
194,Merelbeke-Centraal,51.02283000156589,3.760409995497392,1726
360,Edingen,50.69722134520999,4.047260476616265,44405
726,Luik-Guillemins,50.62555824033023,5.565379651677738,103801
