station,delay,arrival_count,departure_count,difference_count
939,12,137,109,15
263,3,1808,2054,270
6,0,12811,17889,19721
1154,5,797,592,65
572,9,559,605,2
644,9,679,675,7
628,4,1486,1701,167
837,9,87,120,1
744,10,24,21,1
458,0,8223,14620,7502
1187,2,1147,1149,6
368,0,53819,52098,103636
1235,9,123,137,2
1577,2,2923,2923,1
185,6,285,293,55
1058,39,10,13,1
205,28,42,46,2
1048,6,4384,4256,98
1159,6,663,752,3
1146,19,138,130,2
77,8,538,535,36
201,39,5,5,1
590,8,863,858,3
611,9,174,119,3
227,40,9,8,1
1768,1,1385,1836,3076
553,-2,669,668,5
457,6,1068,1137,1
732,17,136,150,1
896,3,445,519,7
9,8,469,533,41
1063,0,12256,9746,25873
798,5,102,88,17
805,-1,2104,603,2
1083,26,76,78,1
822,8,624,646,8
215,25,336,338,2
1266,3,1762,2028,21
612,4,216,304,1
1272,5,258,284,19
1184,16,51,61,1
185,39,3,2,1
139,20,276,245,4
968,1,810,1290,1849
1223,6,268,244,4
1744,26,34,28,2
188,9,52,55,14
910,2,1509,1578,24
1224,0,48738,47637,65109
628,11,280,297,7
863,-1,2403,2333,13
791,9,556,591,5
933,13,130,137,3
1232,5,1242,1296,1
247,0,3733,1494,3316
496,2,298,731,24
1085,11,65,84,1
474,15,48,46,1
585,10,24,32,8
151,46,4,7,1
118,2,2706,3008,120
798,4,138,144,40
368,3,5322,5525,22
961,19,4,2,1
1274,0,17523,26046,24524
155,9,163,162,4
559,5,420,503,16
1177,9,312,284,2
941,0,10525,8776,18181
289,18,10,11,1
1088,37,21,15,1
24,6,849,907,1
375,49,1,1,1
447,3,2974,3480,71
327,3,544,540,42
365,48,2,1,1
1031,0,13837,11429,26117
27,21,55,62,1
974,2,1155,1565,51
725,23,93,94,1
1212,23,37,36,1
221,16,826,795,13
905,24,3,3,1
563,6,668,675,2
931,-3,450,450,1
784,2,763,118,159
6,3,2299,1716,74
790,22,29,30,1
64,15,148,157,1
1841,8,90,69,1
1245,3,642,839,39
320,20,76,82,1
805,2,2002,2151,775
644,50,5,6,1
457,3,2517,2901,19
494,-1,1286,1286,6
325,5,3651,3783,40
210,-3,238,1,626
1265,15,62,47,4
442,8,91,93,8
352,6,148,190,3
64,51,4,4,1
1245,46,5,3,1
504,2,9292,9193,1505
715,54,10,10,1
732,9,684,707,23
421,4,1075,1160,8
738,10,399,452,1
518,3,2873,3221,6
35,1,1938,2286,2658
905,7,64,85,4
728,13,154,162,2
1063,6,782,866,3
810,27,91,83,2
446,2,623,1493,2292
74,1,4615,4516,149
748,17,169,166,5
421,-2,34,33,12
8,6,1034,1110,46
747,21,8,8,1
210,37,38,19,3
539,0,5959,4917,8283
278,0,5078,2609,9142
1141,-1,204,247,132
9,27,39,42,1
1979,4,668,854,1
479,4,106,193,1
523,36,19,13,3
9,21,78,96,2
951,3,406,495,7
157,19,5,8,1
812,1,8641,9425,7874
562,9,309,266,1
82,12,131,152,1
908,5,775,833,27
996,5,458,461,9
221,23,356,351,8
235,15,91,97,1
402,3,2819,2476,319
841,4,1416,1623,3
157,8,83,112,2
862,-2,50,50,1
788,31,4,7,1
164,0,4251,4251,11394
791,11,347,340,3
25,14,108,120,1
147,6,108,141,2
266,20,39,43,3
979,12,178,211,2
686,4,1328,1817,69
933,-1,433,427,22
1226,2,1382,2548,716
27,4,1830,1989,107
16,47,5,6,1
187,8,209,242,1
562,22,40,41,1
812,-1,1789,8,3
719,9,213,249,7
1145,36,7,6,1
100,4,47,97,26
219,7,989,697,9
395,4,317,536,171
266,12,173,185,2
611,8,184,132,1
