avg_departure_delay_s,sum_departure_delay_s,avg_arrival_delay_s,sum_arrival_delay_s,arrival_count,departure_count,avg_time_saving_s,sum_time_saving_s,station
179.5923525430787652,6899579,179.3073298974439065,6888629,38418,38418,-0.28502264563485866,-10950,93
92.0635137442376643,539216,6.4320122992825419,37653,5854,5857,-85.5497256515775034,-498926,100
137.8178002480206048,2889488,114.6446213999618539,2404327,20972,20966,-22.9555969792562852,-480277,102
194.0296783508462341,2418968,150.8865225427951459,1877481,12443,12467,-43.5074482647556164,-540319,105
191.8503602882305845,2396211,153.3086499076379407,1908846,12451,12490,-39.2333413712724058,-488102,106
216.2580041190788242,2310068,166.147656691134952,1765485,10626,10682,-50.9608323133414933,-541255,107
194.3259707248663336,2217065,197.7348816827344435,2256155,11410,11409,3.0309404855815584,34580,108
253.1,2531,1038.2666666666666667,15574,15,10,0,0,109
200.6421897217144018,1975523,150.6986176052043098,1482573,9838,9846,-49.9447164422684619,-489658,114
148.9964439498766268,6159215,148.9457883787314335,6157121,41338,41338,-0.05065557114519328463,-2094,117
173.6153743226065431,5190058,155.1999331885752464,4645910,29935,29894,-18.0571485997588101,-539042,118
98.8018867924528302,1958451,48.9700759493670886,967159,19750,19822,-50.8709005990455884,-1002055,120
239.6333287349979307,5211306,178.250345590268178,3868389,21702,21747,-61.7643500346340337,-1337507,121
147.79492259491338,3207741,147.79492259491338,3207741,21704,21704,0,0,125
166.591261920603238,1502320,119.4543842146103536,1077598,9021,9018,-47.9149820305480683,-426635,126
168.6421636379148537,9883274,158.2844356381525007,9266604,58544,58605,-10.4384621956428877,-610911,127
120.3842421210605303,2406481,82.1436130007558579,1630140,19845,19990,-38.7694597185088029,-768527,128
144.1705182341650672,5633463,133.144546548237643,5201558,39067,39075,-10.9145112916869601,-425786,130
148.6803118283019473,4634514,128.5411998844413058,4004444,31153,31171,-20.0919994854974596,-624821,132
114.482641003776343,939788,114.19295894749665,937410,8209,8209,-0.28968205627969301986,-2378,133
159.5577783088109787,9347852,149.4868261530317777,8754397,58563,58586,-10.1101618167216308,-591677,136
158.9893624934910362,8549176,136.8763320664729115,7346974,53676,53772,-22.1464702042338898,-1187383,138
162.9924778642698553,30465739,140.2731666361689074,26063596,185806,186915,-29.974025974025974,-5495348,139
134.7348482430664156,4221647,106.6744037342541083,3336562,31278,31333,-28.1452969584546007,-880019,142
212.5239537966294262,2244678,160.1958870356330553,1690387,10552,10562,-52.3847762045044189,-551245,143
91.6873519913885899,1703551,110.9246343593101943,2032583,18324,18580,14.3997834387644612,252673,146
152.2006578947368421,1249263,98.2220738222438077,808957,8236,8208,-53.162426614481409,-434656,147
159.2551589610211834,4653595,146.3665913138786135,4273319,29196,29221,-12.9214173012279619,-376711,148
155.2443778726198293,7565990,121.6180861125961262,5914774,48634,48736,-34.3326605013284999,-1666885,151
117.0648772785991101,3262364,63.4975974565555114,1757550,27679,27868,-53.8934245286432888,-1489237,153
160.5476166583040642,3199714,125.7958845671267252,2506483,19925,19930,-34.7630493814744041,-691298,155
131.2615263709395739,1503207,101.7335914129860989,1156304,11366,11452,-30.3219172036366846,-343517,157
50.2939969214982042,294069,153.538828467849647,804697,5241,5847,,,158
187.6581064886149632,2192222,160.1887829597182857,1865078,11643,11682,-27.8741619391438886,-324288,160
31.7695852534562212,6894,121.7019230769230769,25314,208,217,,,162
153.5573108653677374,1749632,153.5573108653677374,1749632,11394,11394,0,0,164
62.3867039657725852,379124,279.6708265802269044,1725569,6170,6077,,,166
155.9000100830168386,4638493,139.64818310523832,4142803,29666,29753,-16.5563271084743477,-491160,167
137.8868296734672689,2656114,118.5833766233766234,2282730,19250,19263,-19.8359305779955178,-380592,169
194.096656446196525,3988104,178.0893519422213547,3649407,20492,20547,-16.7979793049590004,-344157,171
138.408624804542836,8409016,130.1520621952826459,7901792,60712,60755,-8.2768918718358866,-501919,177
196.3802135645186869,7429849,170.2447791217807893,6432018,37781,37834,-26.4676445668290616,-999630,183
251.8831399779828944,2974488,198.7763953983809118,2332641,11735,11809,-54.2709737987539473,-635893,184
179.3339393939393939,1775406,164.4485906309559635,1639388,9969,9900,-19.11440329218107,-185792,185
134.9174132855497248,4216439,107.1587230359947434,3343245,31199,31252,-27.7989738656405323,-866911,187
86.3324110671936759,655263,112.1247869969851881,855400,7629,7590,17.4379244770442814,128378,188
136.2738614747678192,4871518,102.4234117845306971,3646888,35606,35748,-34.2911491992132622,-1220422,189
138.8912465561409445,2873521,125.3223779603673272,2592920,20690,20689,-13.2766906968760728,-270725,190
134.5379631795850055,7475871,118.0538713195201745,6495324,55020,55567,-17.6939674793787214,-971735,191
140.1579365079365079,1765990,105.5238246758412219,1326540,12571,12600,-34.8787757711363273,-436473,192
-41.5809080325960419,-35718,-20.7465277777777778,-17925,864,859,-486,-486,194
212.8123618090452261,2117483,150.8393521778493109,1499494,9941,9950,-62.0897190615245192,-616613,195
56.3161664392905866,330238,56.3161664392905866,330238,5864,5864,0,0,196
167.8397267472411981,6387980,153.3029276618091112,5838542,38085,38060,-14.3414768842371009,-545349,199
130.4825689941953223,3843886,105.0799741909192787,3094290,29447,29459,-25.3198097179748556,-745162,201
198.8411718650425156,10920556,178.0269396551724138,9747331,54752,54921,-21.3332723848530837,-1166738,203
151.9861517340177879,7638672,159.4897777072716096,8042910,50429,50259,-17.1028915662650602,-567816,205
146.8613569321533923,49786,153.6598240469208211,52398,341,339,1.8609467455621302,629,208
216.8447828633587148,2591512,167.8810978160823362,2006347,11951,11951,-48.7313445378151261,-579903,209
137.9466634390381667,10257438,140.0159776581318224,10428250,74479,74358,-21.5676784377339656,-1382747,210
128.7540268670019736,4044679,113.7976178979558989,3535123,31065,31414,-15.6217826885288149,-484947,212
237.72,5943,237.72,5943,25,25,0,0,213
210.5970713449342457,62230171,177.9466708291199805,52440528,294698,295494,-33.1407807069104351,-9754094,215
169.4035647170770139,49670311,166.9170754337251584,48933076,293158,293207,-2.5343537229325001,-742961,216
172.0388332728770523,50747843,170.811834227245913,50382317,294958,294979,-1.2337806316874381,-363911,217
152.2514945530422315,11893430,142.8373822256175197,11218448,78540,78117,-17.5603956085814956,-1290812,218
117.8579715157040903,7497417,143.1245961007133603,9168991,64063,63614,-9.1693752844048625,-282105,219
178.6952208799929459,48637980,168.8039651316420753,45739460,270962,272184,-19.3392278484805678,-4517779,220
164.1277766924070894,47885756,162.4944188988222424,47530430,292505,291759,-5.2149383041992052,-1501193,221
